Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
0,1657875599,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875600,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875601,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875602,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875603,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875604,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875605,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875606,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875607,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875608,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875609,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875610,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
12,1657875611,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
13,1657875612,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
14,1657875613,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
15,1657875614,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
16,1657875615,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
17,1657875616,T13,-90,-73,-96,-82,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875644,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
1,1657875645,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
2,1657875646,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
3,1657875647,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
4,1657875648,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
5,1657875649,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
6,1657875650,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
7,1657875651,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
8,1657875652,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
9,1657875653,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
10,1657875654,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
11,1657875655,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
12,1657875656,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
13,1657875657,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
14,1657875658,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
15,1657875659,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
16,1657875660,T14,-76,-69,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110
0,1657875709,T15,-87,-65,-110,-89,-110,-110,-110,-110,-110,-110,-110,-90
1,1657875710,T15,-87,-65,-110,-89,-110,-110,-110,-110,-110,-110,-110,-90
2,1657875712,T15,-87,-65,-110,-89,-110,-110,-110,-110,-110,-110,-110,-90
3,1657875713,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
4,1657875714,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
5,1657875715,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
6,1657875716,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
7,1657875717,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
8,1657875718,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
9,1657875719,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
10,1657875720,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
11,1657875721,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
12,1657875722,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
13,1657875723,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
14,1657875724,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
15,1657875725,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
16,1657875726,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
17,1657875727,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
18,1657875728,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
19,1657875729,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
20,1657875730,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
21,1657875731,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
22,1657875732,T15,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
0,1657875766,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
1,1657875767,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
2,1657875768,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
3,1657875769,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
4,1657875770,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
5,1657875771,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
6,1657875772,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
7,1657875773,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
8,1657875774,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
9,1657875775,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
10,1657875776,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
11,1657875777,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
12,1657875778,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
13,1657875779,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
14,1657875780,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
15,1657875781,T16,-80,-66,-110,-110,-83,-110,-110,-97,-110,-110,-110,-110
16,1657875782,T16,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
17,1657875783,T16,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
18,1657875784,T16,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
19,1657875785,T16,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
20,1657875786,T16,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
21,1657875787,T16,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
0,1657875822,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
1,1657875823,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
2,1657875824,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
3,1657875825,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
4,1657875826,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
